rate_per_pop,state
2,Arizona
3,Florida
0,Nevada
1,Hawaii
0,California
0,Washington
2,Iowa
0,New York
0,Connecticut
1,Minnesota
0,Pennsylvania
0,Montana
2,New Hampshire
2,Idaho
1,Alaska
0,Vermont
1,Maine
0,Utah
3,Rhode Island
3,Oklahoma
3,Arkansas
3,West Virginia
3,Tennessee
3,Indiana
3,Kansas
3,Colorado
3,North Dakota
3,Ohio
3,Nebraska
3,New Mexico
0,Maryland
2,Georgia
1,Alabama
0,Massachusetts
0,District of Columbia
0,Louisiana
0,Kentucky
2,Virginia
0,Illinois
2,North Carolina
0,New Jersey
0,Delaware
0,South Dakota
0,Wyoming
1,Wisconsin
0,Missouri
2,Michigan
2,Texas
2,Mississippi
0,South Carolina
0,Oregon
