state,cases,rate_per_pop
Mississippi,6875,230.8
Louisiana,8873,194.0
Alabama,9270,193.0
South Carolina,7638,163.2
Georgia,15326,156.1
North Carolina,14318,148.3
Arkansas,4307,146.6
Ohio,16493,142.9
Tennessee,9098,142.1
Illinois,18149,141.0
Missouri,7889,131.2
Michigan,12584,127.4
Texas,32473,126.5
Pennsylvania,15390,120.8
Oklahoma,4441,117.1
New York,22571,116.0
Indiana,7338,112.6
U.S. TOTAL†,334826,107.5
Florida,19462,102.1
Alaska,726,100.5
Delaware,899,99.1
Kentucky,4283,98.0
Maryland,5686,97.6
New Mexico,1883,90.4
Arizona,5809,89.6
California,33579,89.1
South Dakota,707,85.8
Virginia,6885,85.0
New Jersey,7486,84.9
Nevada,2264,83.1
Wisconsin,4704,82.4
Kansas,2228,77.6
Nebraska,1429,77.6
Iowa,2006,65.5
Connecticut,2133,59.6
Hawaii,815,59.3
Minnesota,3082,57.7
Colorado,2822,55.2
North Dakota,335,49.0
Rhode Island,507,48.2
Washington,3238,47.4
West Virginia,831,44.8
Massachusetts,2628,39.9
Oregon,1464,37.8
Maine,456,34.3
Utah,479,17.0
Vermont,99,15.8
New Hampshire,147,11.2
Montana,108,10.8
Idaho,167,10.5
Wyoming,44,7.7
