genre,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
avg_time,0:10:59,0:10:55,0:11:15,0:11:53,0:11:18,0:10:15,0:10:46,0:10:18,0:10:12,0:10:40,0:10:26,0:10:34,0:10:02,0:10:28,0:10:54,0:10:01,0:10:19,0:10:22,0:10:00,0:11:20,0:11:43,0:10:55,0:11:15,0:10:47,0:10:54,0:10:37,0:10:26,0:10:31,0:10:34,0:11:01,0:11:24,0:11:34,0:11:40,0:10:07,0:11:20,0:11:36,0:10:59,0:10:51,0:10:34,0:11:07,0:10:15,0:10:43,0:10:29,0:10:38,0:10:35,0:11:12,0:11:03,0:11:12,0:11:59,0:11:18,0:10:33
anal,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,
anita_queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
asian,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,
bbw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
brcc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
college,,,,,,,1,3,,,,,,2,3,1,3,2,,,2,,,1,,,,,,3,,,1,,,,,,1,3,,,,,,3,3,,,2,
compilation,,1,1,3,,3,,,,,,,1,,,,,,,1,,,,,,2,1,,,1,,,,,,,,3,,2,,,,,1,1,,,,,
creampie,3,3,2,1,,1,,,,1,2,3,2,,1,2,1,,,3,,,2,3,2,,,1,,2,,1,,2,1,1,1,,,1,,,1,2,,,2,,1,3,
ebony,1,,,,,,,,1,,1,,,,,,,,1,,1,1,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,
hawaii,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hentai,2,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,,3,,1,,,,
lesbian,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massage,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,
milf,,,,,,,2,1,2,3,3,,,1,,,,,3,,3,,3,,3,3,,3,,,1,,3,1,3,3,,,3,,2,2,2,3,,,,,2,,
parody,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pov,,2,,,,,3,,,,,,,,,3,,,,,,3,,,,,,,,,2,3,,,,,,2,,,,1,,,,,,3,,,
smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
teen,,,3,,2,2,,2,3,2,,,,3,2,,2,3,2,2,,,1,2,1,1,,2,3,,,2,,,2,2,,1,2,,1,3,3,1,2,2,,2,,1,2
wife,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
