state,avg_time,1,2,3
Arizona,0:10:59,compilation,creampie,teen
Florida,0:10:55,creampie,teen,milf
Nevada,0:11:15,anita queen,asian,teen
Hawaii,0:11:53,asian,hawaii,creampie
California,0:11:18,asian,teen,massage
Washington,0:10:15,asian,teen,pov
Iowa,0:10:46,college,creampie,pov
New York,0:10:18,college,massage,milf
Connecticut,0:10:12,college,milf,pov
Minnesota,0:10:40,college,teen,creampie
Pennsylvania,0:10:26,college,teen,milf
Montana,0:10:34,compilation,anal,wife
New Hampshire,0:10:02,compilation,creampie,college
Idaho,0:10:28,compilation,creampie,parody
Alaska,0:10:54,compilation,pov,creampie
Vermont,0:10:01,compilation,teen,college
Maine,0:10:19,compilation,teen,creampie
Utah,0:10:22,compilation,teen,hentai
Rhode Island,0:10:00,creampie,compilation,college
Oklahoma,0:11:20,creampie,hentai,anal
Arkansas,0:11:43,creampie,lesbian,compilation
West Virginia,0:10:55,creampie,milf,bbw
Tennessee,0:11:15,creampie,milf,teen
Indiana,0:10:47,creampie,teen,college
Kansas,0:10:54,creampie,teen,college
Colorado,0:10:37,creampie,teen,compilation
North Dakota,0:10:26,creampie,teen,milf
Ohio,0:10:31,creampie,teen,milf
Nebraska,0:10:34,creampie,teen,milf
New Mexico,0:11:01,creampie,teen,pov
Maryland,0:11:24,ebony,college,milf
Georgia,0:11:34,ebony,creampie,milf
Alabama,0:11:40,ebony,hentai,creampie
Massachusetts,0:10:07,ebony,hentai,pov
District of Columbia,0:11:20,ebony,milf,teen
Louisiana,0:11:36,ebony,teen,milf
Kentucky,0:10:59,hentai,college,teen
Virginia,0:10:51,hentai,creampie,college
Illinois,0:10:34,milf,college,teen
North Carolina,0:11:07,milf,creampie,ebony
New Jersey,0:10:15,milf,pov,massage
Delaware,0:10:43,milf,teen,college
South Dakota,0:10:29,pov,milf,teen
Wyoming,0:10:38,smoking,teen,brcc
Wisconsin,0:10:35,teen,college,creampie
Missouri,0:11:12,teen,compilation,milf
Michigan,0:11:03,teen,creampie,milf
Texas,0:11:12,teen,creampie,milf
Mississippi,0:11:59,teen,creampie,milf
South Carolina,0:11:18,teen,milf,ebony
Oregon,0:10:33,teen,pov,compilation
