state,cases,rate_per_pop
Alabama,705,14.7
Alaska,34,4.7
Arizona,787,12.1
Arkansas,468,15.9
California,8015,21.3
Colorado,503,9.8
Connecticut,121,3.4
Delaware,106,11.7
District of Columbia,589,95.3
Florida,4483,23.5
Georgia,2432,24.8
Hawaii,43,3.1
Idaho,53,3.3
Illinois,2423,18.8
Indiana,531,8.1
Iowa,143,4.7
Kansas,129,4.5
Kentucky,390,8.9
Louisiana,1779,38.9
Maine,22,1.7
Maryland,1243,21.3
Massachusetts,806,12.2
Michigan,786,8.0
Minnesota,335,6.3
Mississippi,456,15.3
Missouri,426,7.1
Montana,3,0.3
Nebraska,35,1.9
Nevada,445,16.3
New Hampshire,64,4.9
New Jersey,883,10.0
New Mexico,234,11.2
New York,5312,27.3
North Carolina,1036,10.7
North Dakota,14,2.0
Ohio,1138,9.9
Oklahoma,256,6.8
Oregon,424,11.0
Pennsylvania,1349,10.6
Rhode Island,93,8.8
South Carolina,623,13.3
South Dakota,29,3.5
Tennessee,1067,16.7
Texas,7057,27.5
Utah,101,3.6
Vermont,12,1.9
Virginia,906,11.2
Washington,709,10.4
West Virginia,24,1.3
Wisconsin,269,4.7
Wyoming,12,2.1
