state,rate_per_pop
Alabama,40.5
Alaska,36.2
Arizona,38.5
Arkansas,50.7
California,28.7
Colorado,28.9
Connecticut,16.4
Delaware,29.3
District of Columbia,42.8
Florida,29.5
Georgia,38.2
Hawaii,30.0
Idaho,27.7
Illinois,29.5
Indiana,34.8
Iowa,25.3
Kansas,35.4
Kentucky,43.5
Louisiana,45.1
Maine,20.8
Maryland,24.7
Massachusetts,15.4
Michigan,27.8
Minnesota,19.3
Mississippi,50.2
Missouri,34.5
Montana,29.2
Nebraska,27.2
Nevada,36.1
New Hampshire,13.7
New Jersey,18.7
New Mexico,48.8
New York,21.2
North Carolina,34.9
North Dakota,28.2
Ohio,31.5
Oklahoma,47.8
Oregon,25.8
Pennsylvania,24.9
Rhode Island,21.3
South Carolina,39.1
South Dakota,34.3
Tennessee,40.8
Texas,46.9
Utah,23.1
Vermont,16.8
Virginia,24.5
Washington,25.4
West Virginia,43.5
Wisconsin,23.2
Wyoming,35.2
