state,cases,rate_per_pop
Mississippi,23054,774
Alaska,5462,755.8
Alabama,30621,637.6
Louisiana,27353,597.9
South Carolina,27149,580.2
New Mexico,11898,571.4
Arkansas,16611,565.4
Georgia,52418,534
Illinois,67701,526.1
North Carolina,50596,524
New York,100546,516.5
Tennessee,32525,507.9
Texas,127036,494.8
Delaware,4438,489.2
Michigan,47566,481.6
South Dakota,3924,476.2
Arizona,30444,469.6
Missouri,27835,463.1
Hawaii,6340,461.2
Ohio,53141,460.3
U.S. TOTAL†,1422976,456.7
Maryland,26534,455.3
Indiana,29505,452.7
California,167695,444.9
Oklahoma,16843,444.2
Virginia,34963,431.8
Pennsylvania,54993,431.6
North Dakota,2908,425.2
Colorado,21631,422.7
Wisconsin,23726,415.4
Rhode Island,4313,410.3
Nevada,11137,408.9
Florida,77644,407.4
Kentucky,17273,395.3
Kansas,11135,387.8
Montana,3827,383.4
Iowa,11377,371.5
Wyoming,2102,370
Nebraska,6748,366.2
Connecticut,13065,364.9
Washington,24596,360.1
Massachusetts,23550,357.5
Oregon,13454,347.5
Minnesota,18056,337.8
New Jersey,27271,309.2
Idaho,4550,287.1
Vermont,1724,275.2
Utah,7615,270.3
West Virginia,4790,258.2
Maine,3413,257
New Hampshire,3072,233
