top1,top2,top3,avg_time,state
compilation,creampie,teen,0:10:59,Arizona
creampie,teen,milf,0:10:55,Florida
anita queen,asian,teen,0:11:15,Nevada
asian,hawaii,creampie,0:11:53,Hawaii
asian,teen,massage,0:11:18,California
asian,teen,pov,0:10:15,Washington
college,creampie,pov,0:10:46,Iowa
college,massage,milf,0:10:18,New York
college,milf,pov,0:10:12,Connecticut
college,teen,creampie,0:10:40,Minnesota
college,teen,milf,0:10:26,Pennsylvania
compilation,anal,wife,0:10:34,Montana
compilation,creampie,college,0:10:02,New Hampshire
compilation,creampie,parody,0:10:28,Idaho
compilation,pov,creampie,0:10:54,Alaska
compilation,teen,college,0:10:01,Vermont
compilation,teen,creampie,0:10:19,Maine
compilation,teen,hentai,0:10:22,Utah
creampie,compilation,college,0:10:00,Rhode Island
creampie,hentai,anal,0:11:20,Oklahoma
creampie,lesbian,compilation,0:11:43,Arkansas
creampie,milf,bbw,0:10:55,West Virginia
creampie,milf,teen,0:11:15,Tennessee
creampie,teen,college,0:10:47,Indiana
creampie,teen,college,0:10:54,Kansas
creampie,teen,compilation,0:10:37,Colorado
creampie,teen,milf,0:10:26,North Dakota
creampie,teen,milf,0:10:31,Ohio
creampie,teen,milf,0:10:34,Nebraska
creampie,teen,pov,0:11:01,New Mexico
ebony,college,milf,0:11:24,Maryland
ebony,creampie,milf,0:11:34,Georgia
ebony,hentai,creampie,0:11:40,Alabama
ebony,hentai,pov,0:10:07,Massachusetts
ebony,milf,teen,0:11:20,District of Columbia
ebony,teen,milf,0:11:36,Louisiana
hentai,college,teen,0:10:59,Kentucky
hentai,creampie,college,0:10:51,Virginia
milf,college,teen,0:10:34,Illinois
milf,creampie,ebony,0:11:07,North Carolina
milf,pov,massage,0:10:15,New Jersey
milf,teen,college,0:10:43,Delaware
pov,milf,teen,0:10:29,South Dakota
smoking,teen,brcc,0:10:38,Wyoming
teen,college,creampie,0:10:35,Wisconsin
teen,compilation,milf,0:11:12,Missouri
teen,creampie,milf,0:11:03,Michigan
teen,creampie,milf,0:11:12,Texas
teen,creampie,milf,0:11:59,Mississippi
teen,milf,ebony,0:11:18,South Carolina
teen,pov,compilation,0:10:33,Oregon
